,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
124538,7614632,840,USA21125,21125,10 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Texas,Bell,Killeen,31.1171,-97.7278,1,AP; Fox 44 (Waco),Subnational-International,"On 10 January 2021, a Killeen Police Officer shot and killed an unarmed Black man, Patrick Lynn Warren, in Killeen (Texas) while the officer was responding to a mental health call. Warren was in a mental health crisis and had willingly gone to a hospital with a different Killeen officer the day before the shooting. Warren's family expected the same officer would arrive to help Warren with his episode, but another police officer arrived. According to the family, the second officer was not equipped to de-escalate the situation and ended up shooting Warren three times outside his home. In video captured just before the shooting, Warren puts his arms in the air and takes steps toward the officer while the officer draws his weapon and instructs Warren to get down on the ground. The officer is on paid leave pending an investigation into the shooting by Texas Rangers.",1,1612546514,USA
124867,7615271,840,USA21764,21764,09 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Virginia,Goochland,Goochland,37.6843,-77.8853,1,Fatal Encounters; ABC8 (Richmond),Other-Subnational,"Other: On 9 January 2021, police shot and killed Xzavier Hill, a Black teenager, in Goochland (Virginia) following a traffic stop. Police stated that Hill was pulled over for speeding on Interstate-64 but reportedly refused to stop and fled. After attempting to make a U-turn, Hill's vehicle ran off the side of the interstate, slid down an embankment and became stuck in a median. Two state police troopers approached Hill's car and gave him repeated verbal commands to exit his vehicle and show his hands; police alleged that Hill then flashed a gun at the troopers. Police said a handgun was recovered from the vehicle. Hill's mother who has viewed a police video of the fatal shooting disputed police claims and said that she didn't see a gun in Hill's hand, and that Hill had placed his left hand outside his car window before he was shot. This event has prompted protests from people demanding the bodycam footage to be released.",1,1612546515,USA
126087,8005360,840,USA22125,22125,08 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Maryland,Montgomery,Gaithersburg,39.1434,-77.2013,1,WTOP Radio,National,"Other: On 8 January 2021, police shot and killed Kwamena Ocran, a Black man, in Gaithersburg (Maryland) after officers believed Ocran had a gun and chased him at an apartment complex. Officers allege that Ocran displayed a handgun, after which he was shot and killed. This event has led to protests calling for justice.",1,1621980621,USA
127429,8073109,840,USA20251,20251,06 January 2021,2021,1,Riots,Violent demonstration,Rioters (United States),5,Police Forces of the United States (2017-2021),Police Forces of the United States (2017-2021) Federal Bureau of Investigation; Military Forces of the United States (2017-2021) National Guard; Police Forces of the United States (2017-2021) Capitol Police; Civilians (United States); Journalists (United States),1,15,North America,United States,District of Columbia,District of Columbia,Washington DC,38.9171,-77.0003,1,USA Today; CNN; Political Research Associates; Twitter; CBS17; Committee to Protect Journalists; US Press Freedom Tracker; WITF; Washington Post; BuzzFeed; Patriot-News; WICU; Winston-Salem Journal; Washington Examiner; Fox45 (Baltimore); ABC8 (Richmond); WFMZ-TV; WCAU; MilitiaWatch; NBC12; WTKR3; News Leader (Staunton); Forbes; WUSA9; WLTX News 19; New York Times; WJZ13; MyTV Charleston; Liveuamap; NBC News; ProPublica,Local partner-New media,"On 6 January 2021, thousands to tens of thousands of people demonstrated outside the Capitol in Washington DC (District of Columbia) to support President Trump and his allegations of voter fraud in the presidential election and to call for members of Congress to object to the certification of the Electoral College votes. The demonstrators included veterans, lawmakers, off-duty police officers, members of several militias and far-right groups (Sons of Liberty New Jersey, Groypers, Oath Keepers, Proud Boys, Boogaloo Boys, Three Percenters (III%), NSC-13), supporters of QAnon, and other groups, including 100 members of Moore County Citizens for Freedom and the organizers, The Silent Majority, and the Eighty Percent Coalition. Leading up to the event, President Trump hosted the 'Save America March' in front of the White House, calling for demonstrators to march to the Capitol building and 'fight like hell', while Rudy Giuliani, President Trump's personal lawyer, called for 'trial by combat.' Over 100 Republican lawmakers were planning to object to the certification of the electoral college votes on that day. 1 IED was found on the Capitol grounds. Around 1 pm, hundreds of rioters stormed and occupied the US Capitol Building for 4 hours, disrupting the certification and causing the evacuation of lawmakers from the Congressional chambers. It has been found that the Proud Boys were key instigators in storming the Capitol and that the Oathkeepers had held training sessions for 'urban warfare, riot control, and rescue operations' in advance of the election. Prior to the riot, members of the Proud Boys had communicated over an encrypted channel to conspire to overwhelm police and obstruct Congress. It was later discovered that the rioters intended to kill Vice President Pence and wanted to shoot House Speaker Pelosi. When rioters pressed toward the Capitol, many Capitol Police officers simply retreated, not making any apparent effort to physically block rioters from gaining access to the Capitol building. One officer was even seen taking a picture with a rioter. Rioters outnumbered the Capitol Police, although there had been numerous warnings online about possible unrest. Some rioters scaled the sides of the Capitol building, broke windows, damaged doors and offices, and looted. One group constructed makeshift gallows in front of the Capitol. Rioters were tear-gassed, pepper-sprayed, and hit with pepper balls and smoke bombs by police. About 1100 troops from the National Guard were activated and deployed in the city by Vice President Mike Pence after the Capitol was breached. Some of the rioters inside the Capitol building had socks filled with metal objects and hit officers in the head, causing multiple injuries; others pepper-sprayed and hit officers and FBI agents with metal pipes and chemical irritants including bear-spray. Some rioters carried zip-tie handcuffs with them. Rioters assaulted and threatened at least 6 members of the media and destroyed media equipment outside. One journalist was hit with rubber bullets by rioters; others were briefly detained by police while covering the event. Two rioters and one police officer were killed as a direct result of the riot, while another two rioters succumbed to medical conditions. Of the rioters, Ashli Babbitt was shot by police while trying to climb through a broken door into the Speaker's Lobby, which would have given her access to the House of Representatives chamber. Another rioter, Rosanne Boyland, was reportedly trampled during one of the clashes between police and demonstrators outside the Capitol. Brian Sicknick, a Capitol Police officer, died after being dragged and beaten by rioters while defending the building. Nearly 140 police officers were injured and more than 460 people have been arrested, including at least nine veterans and one woman who stole Nancy Pelosi's laptop with intent to sell it to Russian intelligence authorities. 35 Capitol Police officers are under investigation due to their actions during the riots and six officers have been suspended. Members of Congress reconvened around 8pm to certify President-elect Joe Biden's Electoral College victory. After the riot, one US Capitol Police Officer committed suicide and multiple other officers have reportedly threatened self-harm. [size=thousands to tens of thousands] [stop the steal]",3,1623793004,USA
127880,7614534,840,USA21027,21027,05 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Tennessee,Shelby,Memphis,35.1495,-90.0489,1,New York Times; Newsweek,National,"On 5 January 2021, a police officer kidnapped and fatally shot Robert Howard, a Black man, in Memphis (Tennessee) while on duty. He is facing charges of 'first-degree murder, aggravated kidnapping, abuse of a corpse, and fabricating and tampering with evidence.' The incident is under investigation.",1,1612546514,USA
128058,8004743,840,USA29686,29686,05 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,Texas,Travis,Austin,30.2747,-97.7405,1,Fox7 (Austin); KVUE,Subnational,"On 5 January 2021, Austin Police Department officers shot and killed Alex Gonzales, a Latino man, in Austin (Texas) after Gonzales was involved in a road rage incident with an off-duty police officer. The officer fired seven shots at Gonzales, hitting him and his wife but not their child, after Gonzales allegedly pointed a gun at him. Responding on-duty officers arrived and gave multiple commands, saying 'do not reach' to Gonzalez as he reached into the backseat to check on his 2-month-old baby. Gonzales did not comply and on-duty police officers fatally shot him 10 times. Police later found a gun in Gonzales' car, but video of the incident shows he was unarmed and non-threatening to officers, who fired immediately upon him reaching into the car. This incident sparked subsequent demonstrations demanding justice for Alex Gonzales.",1,1621980620,USA
128141,7613619,840,USA20111,20111,05 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,Texas,Travis,Austin,30.2747,-97.7405,1,KXAN; BuzzFeed; Fox7 (Austin),Subnational-National,"Other: On 5 January 2021, two people, Alexander Gonzales and a Latina woman, were shot by police in Austin (Texas). According to the Austin Police Chief, an off-duty police officer was driving home when the officer was cut-off by Gonzales. Gonzales allegedly flashed a gun at the officer, which prompted the off-duty officer to shoot at the car multiple times. The officer also called 911 for back-up. The only body-camera footage of the incident started from when back-up officers arrived. In the footage, the woman was lying on the ground on the passenger side of the vehicle. Gonzales got out of the vehicle and apparently ignored commands to step away from the vehicle with his hands up. Instead, Gonzales walked to the back passenger door, which is when another officer shot and killed him. The woman is in stable condition and there was a baby in the car, who was not injured. This is the second police-involved shooting in Austin in 24 hours. In the other incident a man wanted for a previous warrant for aggravated robbery was shot and injured after he refused to surrender and barricaded himself in his room and held a woman against her will.",1,1612546512,USA
128145,8005300,840,USA29694,29694,05 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States); Prisoners (United States),7,17,North America,United States,South Carolina,Charleston,Charleston,32.7766,-79.9309,1,Washington Post,National,"On 5 January 2021, Charleston County Sheriff deputies tased, pepper-sprayed multiple times at and killed a Black inmate, Jamal Sutherland, in Sheriff Al Cannon Detention Center in Charleston (South Carolina) as they attempted to remove him from his cell for a bond hearing. Sutherland died on the scene after attempts by medical staff at the facility to save his life. This event has led to following demonstrations.",1,1621980621,USA
129586,7740000,840,USA25641,25641,02 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,Arizona,Maricopa,Chandler,33.3062,-111.8412,1,Crowd Counting Consortium; Channel 12 (Mesa); Arizona Central,Other-Subnational,"Other: On 2 January 2021, police stopped Anthony Bernal Cano near Gazelle Meadows Park in Chandler (Arizona) for a traffic violation involving his bicycle headlight. Cano abandoned his bike and ran towards the park as police pursued him. Cano allegedly dropped a gun during the pursuit and stopped to retrieve it. The pursuing officer then allegedly fired two shots at Cano. Cano was hospitalized and died on 23 January. A subsequent demonstration against Cano's death occurred on 5 March 2021.",1,1615330706,USA
129989,7613516,840,USA20008,20008,01 January 2021,2021,1,Strategic developments,Other,Unidentified Armed Group (United States),3,Military Forces of the United States (2017-2021),,1,13,North America,United States,Texas,Bexar,San Antonio,29.4278,-98.4875,1,KCBD11; ABC News,Subnational-National,"Other: On 1 January 2021, Army Drill Sergeant Jessica Mitchell, a female service officer, was found shot to death inside her car on an interstate highway in San Antonio (Texas). San Antonio police officers found her body with multiple gunshots in the driver's side door and window. The incident comes one day after another female Army soldier, Asia Graham, was killed in Texas as well and four months after an investigation into the high death rates of service members at Fort Hood, including the murder of Vanessa Guillen.",1,1612546512,USA
130373,7613485,840,USA19977,19977,31 December 2020,2020,1,Strategic developments,Other,Unidentified Armed Group (United States),3,Military Forces of the United States (2017-2021),,1,13,North America,United States,Texas,El Paso,Fort Bliss,31.8135,-106.4122,1,ABC News; KTSM9,Subnational-National,"Other: On 31 December 2020, Pfc. Asia Graham, a female service officer, was found asphyxiated to death in her barracks at Fort Bliss (Texas). Her death comes one day before another female Army soldier, Jessica Mitchell, was killed in Texas as well, and four months after an investigation into the high death rates of female service members at Fort Hood, including the murder of Vanessa Guillen. Graham and Guillen were victims of sexual assault by fellow soldiers at Fort Bliss.",1,1612546512,USA
130902,7613471,840,USA19963,19963,30 December 2020,2020,1,Strategic developments,Other,Sole Perpetrator (United States),3,Police Forces of the United States (2017-2021),,1,13,North America,United States,Minnesota,Hennepin,Minneapolis,44.9833,-93.2666,1,New York Times; KARE11,Subnational-National,"Other: On 30 December 2020, 23-year-old Dolal Idd, Black Somali-American, was killed in an exchange of gunfire with police during a traffic stop in Minneapolis (Minnesota). According to police documents, members of a police team were attempting to arrest Idd on charges of 'selling firearms illegally'. A portion of police body camera video and witness statements indicated that Idd was armed and fired first at the officers after they stopped the car he was driving. Officers then returned fire. Following the incident, demonstrations were held in several cities against the shooting.",1,1612546512,USA
131076,7695470,840,USA24794,24794,30 December 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,Pennsylvania,Monroe,Snydersville,40.9583,-75.2917,1,Philadelphia Inquirer,Subnational,"Other: On 30 December 2020, police shot and killed 19-year-old Christian Hall during a mental health crisis on the state route 33 overpass over Interstate 80 on the northern edge of Snydersville (Pennsylvania) in Hamilton Township after responding to reports of a mentally distraught man standing with a gun on a bridge. Many report that Hall was having a mental health crisis and protesters have criticized police response to mental health calls after this incident.",1,1613516909,USA
131482,7613457,840,USA19949,19949,29 December 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,California,Stanislaus,Modesto,37.6428,-120.9918,1,CBS13 (Sacramento),Subnational,"On 29 December 2020, Modesto police responded to reports of a domestic violence incident allegedly involving a gun and threats in Modesto (California). Police fatally shot the alleged suspect in the upper body multiple times. The victim, Trevor Seever, was an unarmed Black man. No gun was located during a search of the scene.",1,1612546512,USA
133871,7613400,840,USA19892,19892,25 December 2020,2020,1,Explosions/Remote violence,Suicide bomb,Sole Perpetrator (United States),3,Civilians (United States),,7,37,North America,United States,Tennessee,Davidson,Nashville,36.166,-86.7842,1,Fox17 (Nashville); WREG News Channel 3; Insider (United States); CNN,Subnational-National,"On 25 December 2020, a man detonated a bomb inside a recreational vehicle parked in downtown Nashville (Tennessee) following the broadcast of a recorded countdown, giving a 15-minute warning before the explosion. The blast caused widespread communications outages after affecting an AT&T transmission building. Three people were injured and at least 41 buildings, many of them historical, were damaged by the blast. The man was killed in the blast, and the motive is still under investigation. Some sources believe the communications center was the primary target. Authorities are investigating whether the bomber viewed 5G technology as a threat.",1,1612546512,USA
134936,7716807,840,USA25056,25056,23 December 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,California,Contra Costa,Antioch,38.0045,-121.8071,1,San Francisco Chronicle,Subnational,"On 23 December 2020, police knelt on a man, Angelo Quinto, in Antioch (California) while responding to a mental health call. Police actions caused loss of consciousness and blood loss. Quinto was declared dead three days later at a hospital. The family who witnessed the incident claim that officers knelt on Quinto for over four minutes 'until he died.' Police have not released cause of death.",1,1614122725,USA
135401,7613357,840,USA19849,19849,22 December 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Ohio,Franklin,Columbus,39.9613,-82.9991,1,WOSU; ABC News,Subnational-National,"On 22 December 2020, a police officer shot and killed a 47-year-old Black man, Andre Hill, in Columbus (Ohio). The victim was unarmed and the officers involved did not turn on their body cameras until after the shooting.",1,1612546512,USA
138270,8051763,840,USA30296,30296,17 December 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Georgia,Cobb,Smyrna,33.884,-84.5144,1,Atlanta Journal Constitution; Fox5 Atlanta,Subnational,"On 17 December 2020, Cobb County police fatally shot and killed Johnny Lorenzo Bolton, an unarmed 49-year-old Black man, while serving a no-knock search warrant in Smyrna (Georgia).",1,1622578606,USA
141114,7716733,840,USA25055,25055,13 December 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,California,Riverside,Jurupa Valley,33.9968,-117.4834,1,ABC7 (Los Angeles),Subnational,"Other: On 13 December 2020, an armed security guard tased and used pepper spray on a suspect at a store in Jurupa Valley (California) who was allegedly under the influence of drugs. Video shows that the suspect engaged in a physical altercation with the security guard and sheriff's deputies. The suspect, Ernie Teddy Serrano, allegedly attempted to take the security guard's handgun. Officers pinned Serrano to a checkout counter for about seven minutes, after which Serrano died of 'acute methamphetamine intoxication with fatal arrhythmia.' Demonstrations have occurred in response to the death.",1,1614122725,USA
142870,7726738,840,USA19324,19324,11 December 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Oklahoma,Oklahoma,Oklahoma City,35.4657,-97.5128,1,Oklahoma's News 4; New York Times; KOCO5,Subnational-National,"Other: On 11 December 2020, two officers shot and killed Bennie Edwards, a homeless Black man with mental health issues, in Oklahoma City (Oklahoma). Police arrived on the scene when business owners said that they did not want Edwards on the sidewalk near their business. Officers said that when they arrived, Edwards was holding a knife and that they tried to use non-lethal methods to subdue him. The officers said that Edwards ran at them while carrying the knife, which is when two officers opened fire on Edwards. Edwards's family said that he suffered from bipolar schizophrenia. Hours later, people gathered to protest Edwards's death. On 25 February 2021, one of the officers, Sgt. Clifford Holman, was charged with first-degree manslaughter.",1,1614725570,USA
142895,7612829,840,USA19318,19318,11 December 2020,2020,1,Strategic developments,Other,Sole Perpetrator (United States),3,Civilians (United States),,7,37,North America,United States,Kentucky,Jefferson,Louisville,38.2542,-85.7594,1,Courier-Journal (Louisville),Subnational,"Other: On 11 December 2020, an unidentified individual shot and killed Kris Smith in Louisville (Kentucky). Smith was a leader in Louisville's Black Lives Matter protest movement. Smith is the second prominent leader of the Breonna Taylor protests to have been killed in Louisville after Hamza ''Travis'' Nagdy was killed in November. However, police believe that Smith and Nagdy's deaths are unrelated and have not found anything that would link them. The investigations into both cases are ongoing.",1,1612546511,USA
144258,7612754,840,USA19243,19243,09 December 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Texas,Galveston,La Marque,29.3686,-94.9713,1,KPRC Channel 2; Fox26 (Houston); Houston Chronicle; ABC13 (Houston); KHOU11; Houston Public Media,Subnational,"Other: On 9 December 2020, a La Marque police officer shot and killed Joshua Feast, a 22 year-old Black man, in La Marque (Texas) after police say Feast ran out of a vehicle and across the street into a driveway. The shooting occurred across the street from where Feast lived. Police said that Feast was a person of interest in an ongoing investigation and that the officer had reason to believe that Feast was armed. No other details about the shooting have been released. Officials said that body cam footage would be released only after an investigation into the incident would conclude. Protests around the incident occurred the next day and on Saturday.",1,1612546511,USA
148130,7612537,840,USA19026,19026,04 December 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Ohio,Franklin,Columbus,39.9613,-82.9991,1,CNN; Columbus Dispatch,Subnational-National,"On 4 December 2020, a Franklin County SWAT deputy fatally shot Casey Christopher Goodson Jr., a 23-year-old Black man, outside his home in Columbus (Ohio). Police stated at a press conference that a fugitive task force including US Marshals and Franklin County Sheriff's office SWAT members had finished an unsuccessful search for a suspect in the neighborhood, when a man later identified as Goodson drove by allegedly waving a handgun at a Sheriff's SWAT deputy. Police stated that the SWAT deputy told Goodson to drop his gun and after Goodson failed to comply, the deputy shot him in the back. Goodson's family claim that he had a concealed-carry permit for the handgun, and that Goodson had food in his hand and was unlocking the door to his home before he was shot and fell into the kitchen. According to Columbus Police, no other officers witnessed the shooting, no civilian eyewitnesses have been identified, and there is no body camera footage of the actual shooting. Goodson was not the target of the original raid in the neighborhood. The event is still under investigation.",1,1612546511,USA
150225,7613034,840,USA19526,19526,01 December 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,North Carolina,Rutherford,Rutherfordton,35.3693,-81.9568,1,ABC13 (Asheville); Crowd Counting Consortium,Other-Subnational,"Other: On 1 December 2020, police shot and killed Ethan Calton in Rutherfordton (North Carolina) after attempting to serve him with outstanding warrants for his arrest. According to his death certificate, he was shot in the back. Police claimed Calton threatened them with a handgun and a struggle over control of the weapon ensued. This event has sparked protests in the area after his death.",1,1612546511,USA
154031,7611540,840,USA18028,18028,26 November 2020,2020,1,Violence against civilians,Attack,Unidentified Armed Group (United States),3,Civilians (United States),,7,37,North America,United States,Nevada,Clark,Henderson,36.0397,-114.9819,1,USA Today; Fox5 (Las Vegas); Channel 8 (Las Vegas); Channel 3 (Las Vegas),Subnational-National,"On 26 November 2020, three armed people conducted ''random shootings'' in Henderson (Nevada) for no apparent cause that resulted in one death and four injuries.",1,1612546509,USA
155930,7611479,840,USA17967,17967,23 November 2020,2020,1,Strategic developments,Other,Sole Perpetrator (United States),3,Civilians (United States),,7,37,North America,United States,Kentucky,Jefferson,Louisville,38.2542,-85.7594,1,WLKY,Subnational,"Other: On 23 November 2020, an unidentified individual shot and killed Hamza ''Travis'' Nagdy in Louisville (Kentucky). Nagdy was a leader in Louisville's Black Lives Matter protest movement. He was allegedly killed during a carjacking, but investigators do not have any additional information yet.",1,1612546509,USA
155943,7611484,840,USA17972,17972,23 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,Oklahoma,Oklahoma,Oklahoma City,35.4657,-97.5128,1,KOCO5; Oklahoma's News 4,Subnational,"Other: On 23 November 2020, five officers fired lethal rounds and killed 15 year-old Stavian Rodriguez outside a convenience store in Oklahoma City (Oklahoma). Police say that Rodriguez attempted to rob the convenience store. Video footage from KOCO5 showed Rodriguez dropping his gun and putting his hands up before police shot him. Police allege that Rodriguez was not following orders. The Oklahoma City Police Department has opened an investigation into the event. A protest occurred in response to the incident. Black Lives Matter OKC held a press conference on Thursday, 26 November 2020, to demand that Police Chief Wade Gourley resign.",1,1612546509,USA
156501,7611443,840,USA17931,17931,22 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,Kentucky,Jefferson,Louisville,38.2542,-85.7594,1,Killed by Police; WLKY; WAVE3,Other-Subnational,"Other: On 22 November 2020, a Louisville Metro Police Department officer shot and killed Brian Thurman, a white man, in Louisville (Kentucky) during a traffic stop. Few details around the incident have been released, but the police officer was injured and a woman was seen running from the scene. This is the first officer-involved shooting since a new process to lead inquiries into critical incidents with LMPD was introduced. A protest was held in Louisville following the incident.",1,1612546509,USA
158413,7611404,840,USA17892,17892,19 November 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,New Mexico,Valencia,Los Lunas,34.8062,-106.7334,1,AP; Searchlight New Mexico,Subnational-International,"On 19 November 2020, a New Mexico State Police officer pulled over a Black man, Rodney Applewhite, outside Los Lunas (New Mexico) for an alleged traffic stop. After about 10 minutes of the traffic stop the two state officers attempted to arrest Applewhite. During the attempt a brief altercation occurred between an officer and Applewhite. The second officer on the scene fired at least one round at Applewhite. Applewhite, who was unarmed, died later that day in the hospital.",1,1612546509,USA
158671,7611224,840,USA17712,17712,19 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Nebraska,Douglas,Omaha,41.2568,-95.9342,1,Omaha World-Herald; KETV Channel 7; KMTV3,Subnational,"Other: On 19 November 2020, two Omaha police officers shot dead Kenneth Jones, a Black man, in Omaha (Nebraska). The incident occurred during a traffic stop initiated by the two officers after they witnessed a car with four people inside stopped in the middle of the road without emergency flashers activated. According to police, except Jones all other occupants of the car complied with the officers when they instructed them to put their hands up. Police said that after Jones did not comply, an officer used his flashlight to break the car window to open the door. After opening the door, the officer then instructed Jones to get out of the car. After he did not comply, the officers pulled him out of the car. Police stated that after Jones was pulled out of the car an officer spotted a gun on Jones and four shots were fired at Jones. Following the incident, subsequent nights of demonstration were held in Omaha.",1,1612546508,USA
159985,7611399,840,USA17887,17887,17 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Florida,Duval,Jacksonville,30.3323,-81.6571,1,WJXT,Subnational,"Other: On 17 November 2020, Devon Gregory, an 18-year-old Black male, was fatally shot by police during a traffic stop on the westside of Jacksonville (Florida). The car, with three people inside, was pulled over for 'failing to maintain a single lane'. The driver and backseat passenger were pulled out of the vehicle by K-9 officers, but Gregory refused to leave the car. After an escalation, Gregory shot himself first with a gun found in the vehicle and, following the sound of the gunshot, four officers fired at Gregory. His death sparked several protests the following week.",1,1612546509,USA
161767,7611068,840,USA17556,17556,15 November 2020,2020,1,Strategic developments,Other,Sole Perpetrator (United States),3,Civilians (United States),Lawyers (United States),7,37,North America,United States,Florida,Marion,Ocala,29.1878,-82.1306,1,Daily Beast,National,"Other: On 15 November 2020, a QAnon supporter, Neely Petrie-Blanchard, fatally shot a 'fringe legal theorist' at his home in Ocala (Florida) after she believed that he was involved in a plot to keep her children away from her amid a custody battle.",1,1612546508,USA
163058,7611032,840,USA17520,17520,13 November 2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Florida,Brevard,Cocoa,28.3853,-80.7476,1,WESH2; Florida Today; Space Coast Rocket,Subnational,"On 13 November 2020, two police officers killed AJ Crooms, 16, and Sincere Pierce, 18, while conducting a stolen car search in Cocoa (Florida). After the police pulled up behind the car, the driver turned it around in a driveway and allegedly 'charged the deputies in their car', after which the police shot at the teenagers in the car. Video of the incident shows the car moving in the general direction of the officers, but not at high speed and with the wheels turned away from officers. Investigators have not released information if the car was a stolen vehicle or as the parents of the teens contend, the incident was a result of mistaken identity. Brevard country Sheriff said in his news release that two guns were found in the car but it is unclear where the guns were in the vehicle and if they were used by the people in the car.",2,1612546508,USA
166497,7615261,840,USA21754,21754,08 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,North Carolina,Guilford,High Point,35.9557,-80.0053,1,Fox8 (High Point),Subnational,"Other: On 8 November 2020, Frederick Cox, a Black 18-year-old, was fatally shot by a plain-clothes Davidson County deputy during a shooting at a funeral in High Point (North Carolina). The incident occurred after the funeral concluded. Unidentified people in several vehicles began shooting into the crowd. A Davidson County deputy in plain clothes was at the funeral as part of an investigation into a Davidson County homicide. Police say the deputy tried to help people to safety once the shots rang out. At some point during the incident, the deputy claimed he observed Cox with a handgun and fired his service weapon killing Cox. Police also stated that Cox 'was known to have gang affiliations.' Cox's family dispute the claims and said that Cox was shot in the back while Cox was trying to help a 12-year-old and his mother get inside the church safely. Family and supporters of the Cox have been holding demonstrations against the incident.",1,1612546515,USA
171406,7610656,840,USA17144,17144,02 November 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021) Drug Enforcement Administration,1,Civilians (United States),,7,17,North America,United States,Missouri,Greene,Springfield,37.208,-93.2903,1,News-Leader (Springfield); AP,National-International,"Other: On 2 November 2020, a federal Drug Enforcement Administration agent shot and killed a 25 year-old White man, Caleb Slay, in Springfield (Missouri). According to DEA agents, the agents were conducting surveillance in the area. They saw a suspect possibly violate an unspecified federal law and went to approach the suspect. While the agents were conversing with the suspect, Slay allegedly approached the agents, which, according to agents, led to a physical altercation, which is when an agent shot Slay. The agents stated that a firearm was recovered at the scene and it is unclear whether Slay was armed or not. A spokesperson for the Slay family said they know more information about the case, but this has not yet been released, and they cautioned against labeling Slay as a criminal. The Springfield Police Department is investigating the incident. Multiple days of protests were held to demand justice for Slay following the shooting.",1,1612546507,USA
174968,7609768,840,USA16256,16256,29 October 2020,2020,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),,7,17,North America,United States,Washington,Clark,Hazel Dell,45.6716,-122.6624,1,Columbian; CNN,Subnational-National,"Other: On 29 October 2020, three Clark County Deputies fatally shot Kevin E. Peterson Jr., a 21-year-old Black man, in Hazel Dell (Washington). The police reported that the incident occurred after Peterson was approached by law enforcement while he was sitting in his vehicle in a motel parking lot. The Southwest Washington Independent Investigative Response Team (SWIIRT) who are investigating the incident said in a statement that law enforcement officers approached him as they suspected him of selling drugs. Peterson then allegedly fled on foot, was pursued by the officers, and at some point during the pursuit Peterson produced a handgun. The three Clark County Deputies then all fired their weapons killing Peterson. The statement did not mention if Peterson fired his handgun, but noted that a firearm was found near his body at the scene. All three deputies involved in the incident have been placed on administrative leave pending the investigation.",1,1612546506,USA
